구별,CCTV갯수,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,2780,1549.28173374613,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895
강동구,773,558.1213720316623,453233.0,449019.0,4214.0,54622.0,0.9297646023127177,12.051637899270354
강북구,748,374.520325203252,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428
강서구,884,331.49484536082474,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358
관악구,1496,1033.7328605200946,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705
광진구,707,240.61256544502618,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156
구로구,1561,584.1488616462346,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166
금천구,1015,630.566765578635,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857
노원구,1265,977.5166051660517,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504
도봉구,485,494.8067226890756,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916
동대문구,1294,779.1495327102804,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040053
동작구,1091,479.68382352941177,412520.0,400456.0,12064.0,56013.0,2.9244642683991082,13.578250751478716
마포구,574,585.5796178343949,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516
서대문구,962,365.92417061611377,327163.0,314982.0,12181.0,48161.0,3.7232205353294843,14.720796667104777
서초구,1930,745.1664295874822,450310.0,445994.0,4316.0,51733.0,0.9584508449734627,11.488308054451378
성동구,1062,518.4657534246576,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044
성북구,1464,571.7304261645194,461260.0,449773.0,11487.0,64692.0,2.4903525126826516,14.025061787278325
송파구,618,534.9697542533081,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278
양천구,2034,504.7048290830168,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233
영등포구,904,611.2323232323232,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832
용산구,1624,525.9356725146199,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920505
은평구,1873,765.6836555360281,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232
종로구,1002,908.6724137931035,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193
중구,671,466.0048426150121,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282
중랑구,660,309.7721021611002,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698
