연번,시설구분,읍면동,개소수,데이터 기준일자
1,노인의료복지시설,금곡동 ,8,2026-06-19
2,노인의료복지시설,다산1동,2,2026-06-19
3,노인의료복지시설,별내동,8,2026-06-19
4,노인의료복지시설,별내면,5,2026-06-19
5,노인의료복지시설,수동면,15,2026-06-19
6,노인의료복지시설,오남읍,24,2026-06-19
7,노인의료복지시설,와부읍,14,2026-06-19
8,노인의료복지시설,진건읍,4,2026-06-19
9,노인의료복지시설,진접읍,35,2026-06-19
10,노인의료복지시설,퇴계원면,2,2026-06-19
11,노인의료복지시설,평내동,16,2026-06-19
12,노인의료복지시설,호평동,13,2026-06-19
13,노인의료복지시설,화도읍,41,2026-06-19
14,어린이집,금곡동,6,2026-06-19
15,어린이집,다산1동,77,2026-06-19
16,어린이집,다산2동,25,2026-06-19
17,어린이집,별내동,53,2026-06-19
18,어린이집,별내면,13,2026-06-19
19,어린이집,수동면,2,2026-06-19
20,어린이집,양정동,1,2026-06-19
21,어린이집,오남읍,22,2026-06-19
22,어린이집,와부읍,30,2026-06-19
23,어린이집,조안면,2,2026-06-19
24,어린이집,진건읍,7,2026-06-19
25,어린이집,진접읍,46,2026-06-19
26,어린이집,퇴계원읍,11,2026-06-19
27,어린이집,평내동,24,2026-06-19
28,어린이집,호평동,34,2026-06-19
29,어린이집,화도읍,64,2026-06-19
