"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"경기도 남양주시 (4136000000)","713,321","713,321","64,926","77,268","85,023","89,472","130,172","117,021","83,184","44,796","18,570","2,666","223","355,197","355,197","33,359","39,721","44,355","44,103","65,318","59,769","40,503","20,449","6,954","607","59","358,124","358,124","31,567","37,547","40,668","45,369","64,854","57,252","42,681","24,347","11,616","2,059","164","733,798","733,798","63,527","78,293","86,336","90,426","132,228","122,453","90,900","46,068","20,519","2,934","114","365,103","365,103","32,641","40,342","44,876","44,673","66,249","62,456","44,243","21,078","7,842","682","21","368,695","368,695","30,886","37,951","41,460","45,753","65,979","59,997","46,657","24,990","12,677","2,252","93","737,353","737,353","59,370","79,526","84,144","88,466","131,877","124,804","94,920","48,433","22,614","3,076","123","366,261","366,261","30,527","40,887","43,720","43,921","65,659","63,421","46,490","22,143","8,750","723","20","371,092","371,092","28,843","38,639","40,424","44,545","66,218","61,383","48,430","26,290","13,864","2,353","103","732,265","732,265","54,337","79,299","81,665","85,052","128,329","127,403","98,255","50,512","24,017","3,269","127","363,190","363,190","27,914","40,687","42,285","42,494","63,627","64,631","48,239","23,129","9,385","775","24","369,075","369,075","26,423","38,612","39,380","42,558","64,702","62,772","50,016","27,383","14,632","2,494","103","732,482","732,482","50,251","78,832","79,928","84,763","124,216","129,700","101,740","53,895","25,360","3,677","120","362,652","362,652","25,835","40,396","41,150","42,551","61,352","65,644","50,160","24,703","9,916","918","27","369,830","369,830","24,416","38,436","38,778","42,212","62,864","64,056","51,580","29,192","15,444","2,759","93","729,754","729,754","46,368","78,800","76,830","84,385","120,052","130,266","104,045","58,194","26,532","4,170","112","360,722","360,722","23,827","40,336","39,584","42,530","59,140","65,601","51,501","26,637","10,459","1,082","25","369,032","369,032","22,541","38,464","37,246","41,855","60,912","64,665","52,544","31,557","16,073","3,088","87"
"경기도 남양주시 와부읍(4136025000)","62,502","62,502","4,158","7,436","7,848","6,052","11,152","11,185","7,630","4,778","1,937","295","31","30,823","30,823","2,170","3,810","4,164","2,970","5,301","5,681","3,643","2,231","765","80","8","31,679","31,679","1,988","3,626","3,684","3,082","5,851","5,504","3,987","2,547","1,172","215","23","60,226","60,226","3,615","7,112","7,519","5,651","10,374","11,082","7,829","4,683","2,045","304","12","29,681","29,681","1,879","3,643","3,981","2,815","4,882","5,607","3,755","2,188","840","87","4","30,545","30,545","1,736","3,469","3,538","2,836","5,492","5,475","4,074","2,495","1,205","217","8","58,198","58,198","3,136","6,865","7,081","5,290","9,659","10,964","7,970","4,679","2,227","312","15","28,641","28,641","1,631","3,500","3,772","2,674","4,499","5,490","3,883","2,164","938","87","3","29,557","29,557","1,505","3,365","3,309","2,616","5,160","5,474","4,087","2,515","1,289","225","12","57,586","57,586","2,846","6,670","6,819","5,211","9,107","11,139","8,252","4,779","2,452","299","12","28,309","28,309","1,488","3,412","3,614","2,631","4,229","5,561","4,058","2,197","1,034","80","5","29,277","29,277","1,358","3,258","3,205","2,580","4,878","5,578","4,194","2,582","1,418","219","7","58,146","58,146","2,781","6,435","6,707","5,524","8,690","11,276","8,712","5,074","2,572","362","13","28,532","28,532","1,450","3,287","3,531","2,855","3,996","5,576","4,310","2,335","1,078","107","7","29,614","29,614","1,331","3,148","3,176","2,669","4,694","5,700","4,402","2,739","1,494","255","6","59,575","59,575","2,744","6,509","6,549","5,949","8,656","11,497","9,044","5,500","2,719","397","11","29,248","29,248","1,433","3,329","3,461","3,080","4,052","5,628","4,498","2,491","1,159","114","3","30,327","30,327","1,311","3,180","3,088","2,869","4,604","5,869","4,546","3,009","1,560","283","8"
"경기도 남양주시 진접읍(4136025300)","93,126","93,126","8,365","11,478","10,556","10,414","17,484","15,138","10,930","5,933","2,500","312","16","47,002","47,002","4,332","5,944","5,597","5,166","8,799","8,042","5,423","2,667","947","81","4","46,124","46,124","4,033","5,534","4,959","5,248","8,685","7,096","5,507","3,266","1,553","231","12","93,408","93,408","7,573","11,393","10,755","9,921","17,073","15,767","11,783","6,036","2,758","336","13","47,191","47,191","3,930","5,902","5,740","4,963","8,566","8,344","5,918","2,706","1,034","87","1","46,217","46,217","3,643","5,491","5,015","4,958","8,507","7,423","5,865","3,330","1,724","249","12","95,986","95,986","7,104","11,644","10,810","9,993","17,233","16,641","12,694","6,408","3,081","362","16","48,342","48,342","3,668","6,051","5,765","5,059","8,551","8,732","6,352","2,910","1,153","100","1","47,644","47,644","3,436","5,593","5,045","4,934","8,682","7,909","6,342","3,498","1,928","262","15","96,010","96,010","6,506","11,495","10,690","9,927","16,571","17,168","13,204","6,721","3,293","418","17","48,273","48,273","3,368","5,975","5,670","5,130","8,155","8,949","6,595","3,064","1,240","124","3","47,737","47,737","3,138","5,520","5,020","4,797","8,416","8,219","6,609","3,657","2,053","294","14","95,374","95,374","5,845","11,293","10,543","9,781","15,601","17,530","13,619","7,162","3,491","496","13","47,932","47,932","3,045","5,816","5,623","5,077","7,659","9,108","6,838","3,295","1,324","144","3","47,442","47,442","2,800","5,477","4,920","4,704","7,942","8,422","6,781","3,867","2,167","352","10","94,778","94,778","5,311","11,126","10,338","9,643","14,836","17,613","13,921","7,729","3,647","601","13","47,492","47,492","2,765","5,731","5,504","5,025","7,246","9,071","6,999","3,578","1,396","172","5","47,286","47,286","2,546","5,395","4,834","4,618","7,590","8,542","6,922","4,151","2,251","429","8"
"경기도 남양주시 화도읍(4136025600)","103,885","103,885","8,872","11,497","12,211","12,558","19,718","17,427","11,824","6,796","2,592","357","33","52,069","52,069","4,591","6,008","6,397","6,295","10,012","9,014","5,669","3,034","960","80","9","51,816","51,816","4,281","5,489","5,814","6,263","9,706","8,413","6,155","3,762","1,632","277","24","104,016","104,016","8,145","11,379","12,166","11,779","19,480","17,986","12,875","6,857","2,955","381","13","52,008","52,008","4,199","5,971","6,387","5,903","9,792","9,324","6,194","3,015","1,124","96","3","52,008","52,008","3,946","5,408","5,779","5,876","9,688","8,662","6,681","3,842","1,831","285","10","65,943","65,943","4,282","6,943","7,702","6,876","11,847","12,036","8,964","4,774","2,223","288","8","32,872","32,872","2,175","3,628","4,047","3,528","5,931","6,185","4,372","2,080","848","77","1","33,071","33,071","2,107","3,315","3,655","3,348","5,916","5,851","4,592","2,694","1,375","211","7","64,713","64,713","3,759","6,715","7,455","6,406","11,171","12,293","9,287","4,954","2,371","291","11","32,216","32,216","1,892","3,486","3,924","3,309","5,582","6,288","4,570","2,175","924","65","1","32,497","32,497","1,867","3,229","3,531","3,097","5,589","6,005","4,717","2,779","1,447","226","10","63,839","63,839","3,293","6,560","7,190","6,141","10,452","12,523","9,585","5,242","2,513","329","11","31,804","31,804","1,651","3,391","3,794","3,234","5,231","6,399","4,749","2,309","972","73","1","32,035","32,035","1,642","3,169","3,396","2,907","5,221","6,124","4,836","2,933","1,541","256","10","63,417","63,417","2,982","6,461","6,887","6,116","9,884","12,584","9,908","5,566","2,636","385","8","31,648","31,648","1,510","3,349","3,637","3,229","4,921","6,466","4,953","2,458","1,032","93","0","31,769","31,769","1,472","3,112","3,250","2,887","4,963","6,118","4,955","3,108","1,604","292","8"
"경기도 남양주시 화도읍동부출장소(4136025700)","14,636","14,636","1,626","1,273","1,582","2,221","2,496","2,286","1,887","831","375","58","1","7,421","7,421","837","658","828","1,135","1,288","1,185","938","393","148","10","1","7,215","7,215","789","615","754","1,086","1,208","1,101","949","438","227","48","0","14,794","14,794","1,534","1,388","1,539","2,088","2,619","2,338","1,981","829","385","92","1","7,443","7,443","792","721","806","1,044","1,348","1,181","987","396","150","17","1","7,351","7,351","742","667","733","1,044","1,271","1,157","994","433","235","75","0","14,321","14,321","1,382","1,421","1,394","1,854","2,562","2,324","1,998","881","409","93","3","7,182","7,182","718","722","749","906","1,317","1,184","976","428","164","16","2","7,139","7,139","664","699","645","948","1,245","1,140","1,022","453","245","77","1","13,533","13,533","1,132","1,448","1,244","1,597","2,428","2,268","2,010","894","411","97","4","6,813","6,813","602","721","678","778","1,252","1,158","994","436","175","18","1","6,720","6,720","530","727","566","819","1,176","1,110","1,016","458","236","79","3","13,092","13,092","998","1,408","1,201","1,452","2,277","2,240","2,027","961","427","99","2","6,585","6,585","532","706","628","725","1,182","1,120","1,020","483","166","22","1","6,507","6,507","466","702","573","727","1,095","1,120","1,007","478","261","77","1","12,897","12,897","910","1,367","1,115","1,398","2,192","2,269","2,041","1,046","449","108","2","6,496","6,496","500","692","582","708","1,125","1,157","1,011","518","177","25","1","6,401","6,401","410","675","533","690","1,067","1,112","1,030","528","272","83","1"
"경기도 남양주시 화도읍남부출장소(4136025800)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36,583","36,583","3,097","4,376","3,863","4,100","6,997","6,304","4,391","2,277","1,055","120","3","18,353","18,353","1,630","2,314","2,038","2,013","3,433","3,308","2,172","996","421","28","0","18,230","18,230","1,467","2,062","1,825","2,087","3,564","2,996","2,219","1,281","634","92","3","35,878","35,878","2,855","4,279","3,697","3,821","6,716","6,451","4,512","2,321","1,105","116","5","17,956","17,956","1,490","2,258","1,949","1,893","3,286","3,371","2,231","1,023","427","28","0","17,922","17,922","1,365","2,021","1,748","1,928","3,430","3,080","2,281","1,298","678","88","5","35,587","35,587","2,529","4,235","3,636","3,647","6,436","6,610","4,685","2,474","1,186","145","4","17,791","17,791","1,321","2,235","1,914","1,825","3,140","3,422","2,338","1,105","456","35","0","17,796","17,796","1,208","2,000","1,722","1,822","3,296","3,188","2,347","1,369","730","110","4","35,308","35,308","2,302","4,147","3,594","3,523","6,124","6,691","4,873","2,636","1,245","169","4","17,655","17,655","1,195","2,171","1,941","1,791","2,961","3,446","2,438","1,183","490","39","0","17,653","17,653","1,107","1,976","1,653","1,732","3,163","3,245","2,435","1,453","755","130","4"
"경기도 남양주시 진건읍(4136025900)","24,330","24,330","1,067","1,932","3,335","2,331","3,379","5,210","4,015","1,960","950","138","13","12,634","12,634","594","986","1,842","1,260","1,801","2,772","2,120","879","350","29","1","11,696","11,696","473","946","1,493","1,071","1,578","2,438","1,895","1,081","600","109","12","23,505","23,505","905","1,742","3,108","2,253","3,120","4,996","4,284","1,956","994","141","6","12,230","12,230","500","900","1,732","1,252","1,655","2,637","2,258","899","366","31","0","11,275","11,275","405","842","1,376","1,001","1,465","2,359","2,026","1,057","628","110","6","22,286","22,286","777","1,611","2,750","2,191","2,827","4,659","4,298","1,984","1,057","125","7","11,577","11,577","435","848","1,531","1,224","1,496","2,448","2,259","910","402","23","1","10,709","10,709","342","763","1,219","967","1,331","2,211","2,039","1,074","655","102","6","20,979","20,979","680","1,501","2,441","2,086","2,532","4,324","4,272","1,971","1,022","144","6","10,887","10,887","382","794","1,342","1,180","1,322","2,286","2,260","913","378","29","1","10,092","10,092","298","707","1,099","906","1,210","2,038","2,012","1,058","644","115","5","20,236","20,236","593","1,395","2,227","2,019","2,314","4,089","4,329","2,063","1,023","176","8","10,456","10,456","323","752","1,212","1,148","1,220","2,140","2,293","961","368","38","1","9,780","9,780","270","643","1,015","871","1,094","1,949","2,036","1,102","655","138","7","19,681","19,681","544","1,289","2,073","1,930","2,215","3,831","4,365","2,178","1,060","188","8","10,154","10,154","293","710","1,125","1,098","1,173","1,989","2,316","1,027","378","44","1","9,527","9,527","251","579","948","832","1,042","1,842","2,049","1,151","682","144","7"
"경기도 남양주시 오남읍(4136026200)","53,618","53,618","4,033","6,625","6,697","5,451","10,269","9,574","5,734","3,542","1,499","190","4","26,960","26,960","2,089","3,375","3,587","2,731","5,186","5,039","2,805","1,531","569","47","1","26,658","26,658","1,944","3,250","3,110","2,720","5,083","4,535","2,929","2,011","930","143","3","53,494","53,494","3,605","6,436","6,782","5,340","9,762","10,067","6,143","3,486","1,655","211","7","26,872","26,872","1,862","3,335","3,576","2,729","4,845","5,323","3,009","1,510","632","50","1","26,622","26,622","1,743","3,101","3,206","2,611","4,917","4,744","3,134","1,976","1,023","161","6","52,658","52,658","3,144","6,142","6,676","5,088","9,252","10,301","6,432","3,560","1,824","234","5","26,410","26,410","1,626","3,181","3,529","2,614","4,586","5,403","3,198","1,537","680","55","1","26,248","26,248","1,518","2,961","3,147","2,474","4,666","4,898","3,234","2,023","1,144","179","4","51,729","51,729","2,701","5,875","6,517","4,872","8,559","10,572","6,789","3,662","1,914","263","5","25,897","25,897","1,376","3,072","3,419","2,548","4,238","5,505","3,369","1,587","724","57","2","25,832","25,832","1,325","2,803","3,098","2,324","4,321","5,067","3,420","2,075","1,190","206","3","51,163","51,163","2,387","5,572","6,462","4,776","7,921","10,791","7,128","3,816","2,017","287","6","25,523","25,523","1,231","2,910","3,358","2,505","3,914","5,543","3,585","1,655","758","62","2","25,640","25,640","1,156","2,662","3,104","2,271","4,007","5,248","3,543","2,161","1,259","225","4","50,565","50,565","2,125","5,328","6,266","4,847","7,247","10,835","7,442","4,029","2,111","328","7","25,177","25,177","1,082","2,744","3,254","2,603","3,583","5,552","3,768","1,742","778","70","1","25,388","25,388","1,043","2,584","3,012","2,244","3,664","5,283","3,674","2,287","1,333","258","6"
"경기도 남양주시 퇴계원읍(4136026500)","29,764","29,764","1,767","2,607","4,146","3,348","4,314","5,745","4,536","2,217","972","103","9","14,847","14,847","878","1,361","2,209","1,767","2,160","2,769","2,294","1,024","358","24","3","14,917","14,917","889","1,246","1,937","1,581","2,154","2,976","2,242","1,193","614","79","6","28,863","28,863","1,549","2,471","3,837","3,194","4,066","5,527","4,828","2,226","1,031","128","6","14,392","14,392","769","1,295","2,042","1,699","2,039","2,688","2,403","1,043","381","32","1","14,471","14,471","780","1,176","1,795","1,495","2,027","2,839","2,425","1,183","650","96","5","28,179","28,179","1,375","2,380","3,561","3,115","3,887","5,360","4,981","2,311","1,086","120","3","14,013","14,013","686","1,225","1,893","1,666","1,963","2,591","2,443","1,110","410","25","1","14,166","14,166","689","1,155","1,668","1,449","1,924","2,769","2,538","1,201","676","95","2","27,461","27,461","1,202","2,288","3,310","2,975","3,663","5,200","5,186","2,374","1,125","134","4","13,637","13,637","605","1,180","1,759","1,604","1,857","2,514","2,533","1,131","422","31","1","13,824","13,824","597","1,108","1,551","1,371","1,806","2,686","2,653","1,243","703","103","3","26,960","26,960","1,096","2,164","3,097","2,973","3,395","5,105","5,272","2,496","1,208","150","4","13,341","13,341","555","1,105","1,638","1,594","1,714","2,475","2,574","1,176","476","33","1","13,619","13,619","541","1,059","1,459","1,379","1,681","2,630","2,698","1,320","732","117","3","26,322","26,322","985","2,079","2,883","2,950","3,180","4,782","5,359","2,686","1,237","178","3","13,034","13,034","493","1,063","1,538","1,593","1,602","2,346","2,575","1,283","489","52","0","13,288","13,288","492","1,016","1,345","1,357","1,578","2,436","2,784","1,403","748","126","3"
"경기도 남양주시 별내면(4136031000)","19,766","19,766","1,227","1,979","2,494","1,810","3,280","3,645","2,721","1,730","750","110","20","9,893","9,893","622","1,081","1,245","944","1,638","1,917","1,318","771","319","33","5","9,873","9,873","605","898","1,249","866","1,642","1,728","1,403","959","431","77","15","19,511","19,511","1,130","1,867","2,471","1,708","3,092","3,676","2,907","1,681","847","125","7","9,778","9,778","591","1,003","1,266","870","1,588","1,896","1,415","743","364","40","2","9,733","9,733","539","864","1,205","838","1,504","1,780","1,492","938","483","85","5","18,959","18,959","953","1,796","2,296","1,664","2,895","3,672","2,956","1,660","939","123","5","9,492","9,492","487","961","1,179","863","1,484","1,890","1,451","744","397","35","1","9,467","9,467","466","835","1,117","801","1,411","1,782","1,505","916","542","88","4","18,505","18,505","824","1,698","2,185","1,553","2,654","3,736","3,030","1,715","980","124","6","9,238","9,238","415","885","1,144","807","1,348","1,916","1,516","761","410","35","1","9,267","9,267","409","813","1,041","746","1,306","1,820","1,514","954","570","89","5","18,115","18,115","722","1,586","2,046","1,508","2,398","3,751","3,133","1,801","1,033","129","8","9,053","9,053","363","823","1,087","777","1,231","1,924","1,569","815","429","32","3","9,062","9,062","359","763","959","731","1,167","1,827","1,564","986","604","97","5","17,852","17,852","641","1,558","1,888","1,505","2,231","3,666","3,199","1,968","1,048","141","7","8,910","8,910","340","796","1,001","773","1,156","1,865","1,626","894","420","36","3","8,942","8,942","301","762","887","732","1,075","1,801","1,573","1,074","628","105","4"
